id,title,severity,active,verified,is_mitigated,false_p,cwe,test,found_by,sla_days_remaining,sla_expiration_date,created
1341,GHSA-grv7-fg5c-xmjg in braces:2.3.2,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.338487Z
1342,GHSA-6rw7-vpxm-498p in qs:6.13.0,Medium,True,False,False,False,0,5,[12],90,2026-07-12,2026-04-13T17:10:59.349305Z
1343,GHSA-fvqr-27wr-82fm in lodash:2.4.2,Medium,True,False,False,False,0,5,[12],90,2026-07-12,2026-04-13T17:10:59.359200Z
1344,GHSA-25hc-qcg6-38wj in socket.io:3.1.2,Medium,True,False,False,False,0,5,[12],90,2026-07-12,2026-04-13T17:10:59.369679Z
1345,CVE-2018-20796 in libc6:2.36-9+deb12u10,Info,True,False,False,False,0,5,[12],,,2026-04-13T17:10:59.380236Z
1346,GHSA-pxg6-pf52-xh8x in cookie:0.4.2,Low,True,False,False,False,0,5,[12],120,2026-08-11,2026-04-13T17:10:59.388880Z
1347,CVE-2025-69420 in libssl3:3.0.17-1~deb12u2,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.399583Z
1348,GHSA-8cf7-32gw-wr33 in jsonwebtoken:0.1.0,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.409729Z
1349,GHSA-8cf7-32gw-wr33 in jsonwebtoken:0.4.0,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.421002Z
1350,GHSA-vghf-hv5q-vc2g in validator:13.15.15,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.430964Z
1351,GHSA-g5hg-p3ph-g8qg in multer:1.4.5-lts.2,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.439970Z
1352,GHSA-952p-6rrq-rcjv in micromatch:3.1.10,Medium,True,False,False,False,0,5,[12],90,2026-07-12,2026-04-13T17:10:59.450681Z
1353,CVE-2025-59465 in node:22.18.0,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.460336Z
1354,CVE-2025-69421 in libssl3:3.0.17-1~deb12u2,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.470241Z
1355,CVE-2025-69419 in libssl3:3.0.17-1~deb12u2,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.479301Z
1356,CVE-2019-9192 in libc6:2.36-9+deb12u10,Info,True,False,False,False,0,5,[12],,,2026-04-13T17:10:59.489986Z
1357,CVE-2019-1010025 in libc6:2.36-9+deb12u10,Info,True,False,False,False,0,5,[12],,,2026-04-13T17:10:59.501386Z
1358,GHSA-3ppc-4f35-3m26 in minimatch:3.0.5,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.509212Z
1359,GHSA-3ppc-4f35-3m26 in minimatch:3.0.8,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.520230Z
1360,GHSA-3ppc-4f35-3m26 in minimatch:3.1.2,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.530873Z
1361,GHSA-3ppc-4f35-3m26 in minimatch:5.1.6,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.540736Z
1362,GHSA-3ppc-4f35-3m26 in minimatch:9.0.5,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.551276Z
1363,CVE-2025-15281 in libc6:2.36-9+deb12u10,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.560847Z
1364,CVE-2026-22796 in libssl3:3.0.17-1~deb12u2,Medium,True,False,False,False,0,5,[12],90,2026-07-12,2026-04-13T17:10:59.569564Z
1365,GHSA-r5mx-6wc6-7h9w in dottie:2.0.6,Medium,True,False,False,False,0,5,[12],90,2026-07-12,2026-04-13T17:10:59.578228Z
1366,GHSA-44fp-w29j-9vj5 in multer:1.4.5-lts.2,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.588747Z
1367,GHSA-v52c-386h-88mc in multer:1.4.5-lts.2,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.600557Z
1368,GHSA-xf7r-hgr6-v32p in multer:1.4.5-lts.2,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.610861Z
1369,GHSA-7r86-cg39-jmmj in minimatch:3.0.5,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.621108Z
1370,GHSA-7r86-cg39-jmmj in minimatch:3.0.8,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.631658Z
1371,GHSA-7r86-cg39-jmmj in minimatch:3.1.2,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.641710Z
1372,GHSA-7r86-cg39-jmmj in minimatch:5.1.6,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.652954Z
1373,GHSA-7r86-cg39-jmmj in minimatch:9.0.5,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.664656Z
1374,CVE-2019-1010024 in libc6:2.36-9+deb12u10,Info,True,False,False,False,0,5,[12],,,2026-04-13T17:10:59.674866Z
1375,GHSA-99p7-6v5w-7xg8 in vm2:3.9.17,Critical,True,False,False,False,0,5,[12],7,2026-04-20,2026-04-13T17:10:59.685187Z
1376,GHSA-23c5-xmqv-rm74 in minimatch:3.0.5,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.696053Z
1377,GHSA-23c5-xmqv-rm74 in minimatch:3.0.8,High,True,False,False,False,0,5,[12],30,2026-05-13,2026-04-13T17:10:59.705817Z
